"genre","publisher","developer","critic_score","release_date","total_sales","release_Month"
"Racing","Electronic Arts","Radical Entertainment",6.1,2001-11-24,3.61,11
"Shooter","LucasArts","Pandemic Studios",8.1,2004-09-20,3.61,9
"Shooter","GT Interactive","id Software",9.3,1994-09-30,3.61,9
"Action","Ubisoft","Ubisoft Quebec",8.6,2015-10-23,3.6,10
"Shooter","LucasArts","Pandemic Studios",8.5,2005-11-01,3.59,11
"Action","Ubisoft","Ubisoft Montreal",NA,2014-11-11,3.58,11
"Fighting","THQ","Yuke's",NA,2000-03-01,3.58,3
"Simulation","Majesco","Office Create",6.9,2007-11-13,3.58,11
"Action","Sony Computer Entertainment","Team Soho",7.7,2003-01-19,3.54,1
"Adventure","Eidos Interactive","Core Design Ltd.",8.2,1998-11-21,3.54,11
"Action","Rockstar Games","Rockstar Leeds",8.3,2006-06-06,3.54,6
"Shooter","Electronic Arts","EA DICE",8.7,2013-10-29,3.54,10
"Action","Eidos Interactive","Rocksteady Studios",9.1,2009-08-25,3.54,8
"Action","Capcom","Capcom",8.6,2009-03-13,3.53,3
"Action","Ubisoft","Ubisoft Montreal",9.1,2010-11-16,3.53,11
"Action","Eidos Interactive","Traveller's Tales",7.9,2005-04-02,3.53,4
"Shooter","Electronic Arts","EA Redwood Shores",NA,2001-11-13,3.53,11
"Action","THQ","Avalanche Software",NA,2000-10-29,3.52,10
"Sports","EA Sports","EA Canada",8.7,2010-09-28,3.52,9
"Sports","2K Sports","Visual Concepts",9,2016-09-16,3.52,9
"Fighting","Warner Bros. Interactive Entertainment","NetherRealm Studios",NA,2015-04-14,3.49,4
"Sports","EA Sports","EA Canada",8,2003-11-04,3.49,11
"Shooter","2K Games","Gearbox Software",8.3,2009-10-20,3.48,10
"Shooter","Electronic Arts","EA Digital Illusions CE",9,2010-03-02,3.48,3
"Sports","Sega","Sega",7.6,2009-10-13,3.47,10
"Misc","Activision","Vicarious Visions",7.1,2008-06-22,3.46,6
"Fighting","Namco","Namco",7.9,2002-09-23,3.44,9
"Adventure","Warner Bros. Interactive","Traveller's Tales",7.5,2008-09-23,3.44,9
"Shooter","Microsoft Studios","343 Industries",8.8,2014-11-11,3.44,11
"Platform","Sony Computer Entertainment","Media Molecule",9.1,2011-01-18,3.43,1
"Sports","EA Sports","EA Canada",NA,2013-11-15,3.43,11
"Action","Rockstar Games","DMA Design",6.9,1999-10-25,3.42,10
"Shooter","Activision","Bungie",8.3,2014-09-09,3.41,9
"Action","Activision","Treyarch",7.9,2004-06-28,3.41,6
"Sports","EA Sports","EA Canada",NA,2002-11-14,3.4,11
"Misc","Sony Computer Entertainment","Eurocom Entertainment Software",6.8,2000-11-06,3.39,11
"Shooter","Microsoft Studios","The Coalition",NA,2016-10-11,3.38,10
"Role-Playing","Bethesda Softworks","Bethesda Softworks",8.3,2016-10-28,3.36,10
"Action","Ubisoft","Ubisoft",NA,2016-11-15,3.36,11
"Fighting","Acclaim Entertainment","Iguana Entertainment",NA,1998-07-14,3.36,7
"Action-Adventure","Ubisoft","Ubisoft Montreal",8.5,2013-10-29,3.34,10
"Sports","2K Sports","Visual Concepts",8.1,2017-09-19,3.34,9
"Shooter","Electronic Arts","Eurocom Entertainment Software",NA,2002-11-18,3.33,11
"Action","LucasArts","The Collective",NA,2005-05-04,3.32,5
"Shooter","Rockstar Games","Remedy Entertainment",8.1,2001-12-06,3.31,12
"Sports","EA Sports","EA Tiburon",8.2,2015-08-25,3.3,8
"Action","Electronic Arts","Hypnos Entertainment, Inc.",8.4,2003-11-05,3.28,11
"Sports","EA Sports","EA Tiburon",8.5,2016-08-23,3.28,8
"Racing","Sony Computer Entertainment","Polyphony Digital",NA,2009-10-01,3.27,10
"Shooter","Ubisoft","Ubisoft Montreal",NA,2012-12-04,3.27,12
"Action","Activision","Luxoflux",NA,2003-11-03,3.27,11
"Sports","EA Sports","EA Canada",8.5,2015-09-22,3.25,9
"Adventure","Rockstar Games","Team Bondi",9.1,2011-11-15,3.21,11
"Shooter","Electronic Arts","Black Ops Entertainment",6.2,1999-11-16,3.21,11
"Fighting","THQ","Yuke's",8.7,2000-11-21,3.2,11
"Action-Adventure","Ubisoft","Ubisoft Montreal",8.3,2013-11-15,3.19,11
"Action","Atari","Shiny Entertainment",NA,2003-05-14,3.18,5
"Action-Adventure","Ubisoft","Ubisoft Quebec",9.5,2018-10-05,3.18,10
"Role-Playing","Bethesda Softworks","Obsidian Entertainment",8.2,2010-10-19,3.17,10
"Sports","EA Sports","EA Canada",NA,2007-10-09,3.14,10
"Adventure","Disney Interactive Studios","1st Playable Productions",7,2008-11-25,3.14,11
"Sports","EA Sports","EA Vancouver",8,2017-09-29,3.14,9
"Action","Activision","Neversoft Entertainment",NA,2000-08-30,3.13,8
"Role-Playing","Bethesda Softworks","4J Studios",9.3,2007-03-20,3.12,3
"Action","Capcom","Capcom",NA,2012-10-02,3.12,10
"Racing","Electronic Arts","EA Canada",NA,1998-03-25,3.12,3
"Shooter","Ubisoft","Ubisoft Paris",7,2017-03-07,3.12,3
"Shooter","Electronic Arts","Respawn Entertainment",NA,2014-03-11,3.11,3
"Sports","2K Sports","Visual Concepts",8.6,2012-10-02,3.11,10
"Role-Playing","Electronic Arts","BioWare Edmonton",9.5,2010-01-26,3.1,1
"Adventure","Warner Bros. Interactive","Traveller's Tales",7.3,2008-09-23,3.08,9
"Sports","EA Sports","EA Sports",NA,2001-08-19,3.08,8
"Action","THQ","Volition Inc.",7.9,2008-10-14,3.07,10
"Shooter","Activision","Infinity Ward",7.5,2013-11-22,3.07,11
"Simulation","Electronic Arts","Maxis",NA,2002-03-25,3.07,3
"Shooter","2K Games","Gearbox Software",NA,2013-01-15,3.06,1
"Adventure","Warner Bros. Interactive","Traveller's Tales",7.8,2008-09-23,3.06,9
"Platform","Activision","Luxoflux",7.5,2008-06-03,3.05,6
"Action","Konami Digital Entertainment","Kojima Productions",NA,2015-09-01,3.04,9
"Role-Playing","Electronic Arts","BioWare",9.5,2012-03-06,3.04,3
"Platform","Ubisoft","Ubisoft Montpellier",7,1995-09-01,3.03,9
"Action","Ubisoft","Ubisoft",9.3,2002-11-17,3.02,11
"Fighting","THQ","Yuke's",8.4,2005-11-15,3,11
"Misc","Electronic Arts","Maxis",NA,2000-08-27,2.99,8
"Sports","Konami","Konami Computer Entertainment Tokyo",NA,2003-03-11,2.99,3
"Shooter","Ubisoft","Ubisoft Montreal",NA,2012-12-04,2.98,12
"Action","Eidos Interactive","IO Interactive",NA,2002-10-01,2.96,10
"Shooter","Electronic Arts","EA Digital Illusions CE",8.9,2010-03-02,2.96,3
"Fighting","Capcom","Capcom / Dimps Corporation",9.3,2009-02-17,2.95,2
"Fighting","THQ","Yuke's",NA,2005-11-14,2.94,11
"Puzzle","Namco","Mass Media",NA,2001-07-12,2.94,7
"Sports","EA Sports","EA Tiburon",8,2012-08-28,2.93,8
"Shooter","Bethesda Softworks","id Software",NA,2016-05-13,2.92,5
"Sports","EA Sports","EA Canada",6.9,2014-09-23,2.91,9
"Role-Playing","Microsoft Game Studios","BioWare Edmonton",9.2,2007-11-20,2.91,11
"Fighting","Warner Bros. Interactive Entertainment","NetherRealm Studios",8.5,2011-04-19,2.9,4
"Shooter","Activision","Spark Unlimited",NA,2004-11-16,2.89,11
"Simulation","Majesco","Office Create",5.9,2007-03-20,2.89,3
"Sports","Sega","Sumo Digital",6.9,2008-03-18,2.89,3
"Sports","Sony Computer Entertainment","Clap Hanz",NA,2002-03-11,2.89,3
"Simulation","Ubisoft","Visual Impact",3.5,2007-10-23,2.87,10
"Racing","Sony Computer Entertainment","Codemasters",7.9,2000-01-31,2.87,1
"Action-Adventure","2K Games","Hangar 13",6.9,2016-10-07,2.87,10
"Role-Playing","Bethesda Softworks","Bethesda Softworks",8.2,2002-06-06,2.86,6
"Action","Ubisoft","Ubisoft Montreal",9.1,2010-11-16,2.85,11
"Sports","EA Sports","EA Tiburon",8.6,2009-08-14,2.83,8
"Shooter","2K Games","2K Australia / 2K Boston",9.6,2007-08-21,2.83,8
"Fighting","THQ","Yuke's",NA,2004-11-02,2.83,11
"Sports","Majesco","Pipeworks Software, Inc.",NA,2011-11-15,2.83,11
"Role-Playing","Blizzard Entertainment","Blizzard Entertainment",NA,2014-08-19,2.82,8
"Platform","THQ","Vicarious Visions",7,2003-05-10,2.82,5
"Racing","Sony Computer Entertainment","Polyphony Digital",7.8,2009-10-01,2.82,10
"Shooter","Electronic Arts","EA Los Angeles",6.7,2010-10-12,2.82,10
"Simulation","Ubisoft","Virtual Toys / Lexis Numerique",3,2007-10-23,2.81,10
"Racing","Electronic Arts","Criterion Games",8.9,2010-11-16,2.81,11
"Shooter","Sony Computer Entertainment","Guerrilla Games",8.2,2011-02-22,2.81,2
"Sports","EA Sports BIG","NuFX",NA,2001-06-18,2.79,6
"Action","Activision","Toys for Bob",8,2011-10-16,2.79,10
"Fighting","THQ","Yuke's",NA,2001-11-18,2.79,11
"Fighting","Midway Games","Avalanche Software",NA,1996-09-01,2.79,9
"Sports","Sony Computer Entertainment","Camelot Software Planning",NA,1998-05-05,2.79,5
"Platform","Sony Computer Entertainment","Traveller's Tales",3.6,1998-10-31,2.79,10
"Action","LucasArts","LucasArts",7.1,2008-09-16,2.77,9
"Action","THQ","Volition Inc.",8.3,2011-11-15,2.77,11
"Simulation","Electronic Arts","Edge of Reality",NA,2003-01-12,2.77,1
"Shooter","Electronic Arts","Dice",8.9,2011-10-25,2.76,10
"Racing","Electronic Arts","Criterion Games",8.5,2012-10-30,2.74,10
"Action-Adventure","Ubisoft","Ubisoft Montreal",7.2,2016-02-23,2.73,2
"Adventure","Rockstar Games","Team Bondi",9.1,2011-11-15,2.73,11
"Shooter","Blizzard Entertainment","Blizzard Entertainment",8.7,2016-05-24,2.72,5
"Racing","Electronic Arts","Ghost Games",7,2015-11-03,2.72,11
"Shooter","Ubisoft","Ubisoft Montreal",NA,2015-12-01,2.71,12
"Sports","EA Sports","EA Black Box",8.3,2010-05-11,2.71,5
"Sports","EA Sports","EA Tiburon",8.3,2012-08-28,2.71,8
"Sports","EA Sports","EA Tiburon",7.8,2011-08-30,2.7,8
"Shooter","Activision","Treyarch",8,2006-11-07,2.7,11
"Action","LucasArts","Traveller's Tales",8.4,2006-09-12,2.69,9
"Sports","EA Sports","EA Tiburon",8.3,2010-08-10,2.69,8
"Racing","Electronic Arts","Criterion Games",9.3,2004-09-07,2.68,9
"Fighting","Arena Entertainment","Probe Entertainment Limited",NA,1993-09-13,2.67,9
"Shooter","Electronic Arts","DreamWorks Interactive",9.3,1999-11-11,2.67,11
"Shooter","Activision","Treyarch",8.5,2005-11-01,2.67,11
"Role-Playing","Square Enix","Square Enix",8.3,2012-01-31,2.66,1
"Shooter","Electronic Arts","Team Fusion",6.7,2006-10-20,2.66,10
"Misc","Activision","Neversoft Entertainment",8.6,2008-10-26,2.66,10
"Fighting","THQ","Yuke's",NA,2002-10-31,2.66,10
"Action","Ubisoft","Ubisoft",NA,2003-04-08,2.65,4
"Racing","Electronic Arts","Slightly Mad Studios",8.2,2009-09-15,2.65,9
